property_id,address,latitude,longitude,pct_flooded,max_depth_ft,urban_flag,optical_available,optical_water_pct,wse_spread_ft,rel_elev_ft,hand_ft,water_fraction,dpol_water,dpol_available,dem_resolution_m,found_ht,found_type,num_story,occtype,val_struct,val_cont,ftprntsqft,med_yr_blt,nsi_match_m,nsi_matched,first_floor_height_ft,foundation_type,depth_above_ffe_ft,first_floor_source,depth_lower_ft,depth_upper_ft,depth_ci_ft
BRZ-00026,"NSI Structure 122459828, Fort Bend County, TX",29.687973,-95.69195,0.0,0.0,1,1,0.0,0.0,3.743,1.17,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,272741.2922923922,136370.6461461961,1234.0,2002.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00027,"NSI Structure 122492653, Fort Bend County, TX",29.716176,-95.809195,0.0,0.0,1,1,0.0,0.0,2.643,3.62,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,618223.9061810226,309111.9530905113,1989.0,2006.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00028,"NSI Structure 122463371, Fort Bend County, TX",29.550749,-95.727893,0.0,0.0,1,1,0.0,0.0,2.61,9.94,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,4494991.612982563,2247495.8064912814,12819.0,2004.0,0.1,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00029,"NSI Structure 123427524, Harris County, TX",29.691559,-95.647787,0.0,0.0,1,1,0.0,0.0,9.516,1.42,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,224144.74847683372,112072.37423841686,2849.0,1984.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00030,"NSI Structure 122554856, Fort Bend County, TX",29.537423,-95.737977,0.0,0.0,1,1,0.0,0.0,11.248,0.9,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,453701.6649988365,226850.83249941826,2820.0,2015.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00031,"NSI Structure 122590605, Fort Bend County, TX",29.55167,-95.780242,0.0,0.0,1,1,0.0,0.0,6.823,4.31,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,181983.02807453147,90991.51403726573,2520.0,2008.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00032,"NSI Structure 122583942, Fort Bend County, TX",29.656235,-95.703441,0.0,0.0,1,1,0.0,0.0,17.482,10.8,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,767061.4524153642,383530.7262076821,3321.0,2015.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00033,"NSI Structure 122488634, Fort Bend County, TX",29.618357,-95.797346,0.0,0.0,0,1,0.0,0.0,8.795,4.48,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,709049.9350276917,354524.9675138458,3404.0,2010.0,0.1,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00034,"NSI Structure 122629469, Fort Bend County, TX",29.519796,-95.82745,0.0,0.0,0,1,0.0,0.0,4.403,0.46,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,344072.317056,172036.158528,1986.0,2010.0,0.1,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00035,"NSI Structure 122681630, Fort Bend County, TX",29.537893,-95.610433,0.0,0.0,0,1,0.0,0.0,6.64,6.98,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,1087282.8098036642,543641.4049018321,3830.0,2013.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00036,"NSI Structure 122478431, Fort Bend County, TX",29.649351,-95.745233,0.0,0.0,1,1,0.005,0.0,14.733,0.58,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,906626.0063100616,453313.0031550308,5670.0,2012.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00037,"NSI Structure 122530155, Fort Bend County, TX",29.663594,-95.732478,0.0,0.0,1,1,0.0,0.0,2.608,3.68,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,333526.36604446336,166763.18302223168,2344.0,2014.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00038,"NSI Structure 122599484, Fort Bend County, TX",29.65825,-95.637232,0.0,0.0,1,1,0.0,0.0,2.828,6.8,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,252353.17507180994,126176.58753590497,1565.0,1998.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00039,"NSI Structure 122682849, Fort Bend County, TX",29.647285,-95.620154,0.0,0.0,1,1,0.0,0.0,6.206,6.94,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,226704.860604,113352.430302,1473.0,1976.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00040,"NSI Structure 123499696, Harris County, TX",29.705289,-95.660954,0.0,0.0,1,1,0.0,0.0,2.949,3.02,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,203699.04456137287,101849.52228068643,2727.0,1984.0,0.1,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00041,"NSI Structure 122481803, Fort Bend County, TX",29.645273,-95.765233,0.0,0.0,0,1,0.0,0.0,7.27,2.63,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,491740.5221589973,245870.26107949865,2143.0,2012.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00042,"NSI Structure 122460227, Fort Bend County, TX",29.705986,-95.689679,0.0,0.0,1,1,0.0,0.0,3.703,15.76,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,311182.3593173299,155591.17965866494,2373.0,2002.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00043,"NSI Structure 122617883, Fort Bend County, TX",29.708967,-95.840798,0.0,0.0,1,1,0.0,0.0,6.281,0.77,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,808244.805260425,404122.4026302125,3007.0,2011.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00044,"NSI Structure 122567673, Fort Bend County, TX",29.68924,-95.693986,0.0,0.0,1,1,0.0,0.0,4.957,2.16,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,236950.68621112435,118475.34310556218,1819.0,2002.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00045,"NSI Structure 123497383, Harris County, TX",29.682669,-95.632014,0.0,0.0,1,1,0.0,0.0,2.856,4.87,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,333696.8960191268,166848.4480095634,1492.0,2000.0,0.1,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00046,"NSI Structure 122584215, Fort Bend County, TX",29.56898,-95.715345,0.0,0.0,1,1,0.0,0.0,30.937,7.59,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,401195.36979552463,200597.68489776232,3191.0,2013.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00047,"NSI Structure 122552581, Fort Bend County, TX",29.542823,-95.692086,0.0,0.0,1,1,0.0,0.0,10.193,15.09,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,307708.6028046679,153854.30140233395,2074.0,1989.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00048,"NSI Structure 122616628, Fort Bend County, TX",29.584042,-95.625518,0.0,0.0,1,1,0.0,0.0,20.138,3.73,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,688396.949842907,344198.4749214535,2091.0,1987.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00049,"NSI Structure 122482544, Fort Bend County, TX",29.549548,-95.76713,0.0,0.0,1,1,0.0,0.0,3.101,0.62,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,334400.77224434615,167200.38612217308,4128.0,2008.0,0.1,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00050,"NSI Structure 122529947, Fort Bend County, TX",29.672399,-95.732842,0.0,0.0,1,1,0.0,0.0,7.697,1.52,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,327447.39129131363,163723.69564565682,2232.0,2014.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00051,"NSI Structure 122473782, Fort Bend County, TX",29.563477,-95.7375,0.0,0.0,1,1,0.0,0.0,7.312,1.34,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,275444.08739776496,137722.04369888248,2047.0,2013.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00052,"NSI Structure 123895010, Harris County, TX",29.68155,-95.619622,0.0,0.0,1,1,0.0,0.0,4.536,0.49,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,385147.9341772525,192573.96708862626,2110.0,2000.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00053,"NSI Structure 122528458, Fort Bend County, TX",29.703489,-95.721684,0.0,0.0,0,1,0.0,0.0,3.598,4.21,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,273677.2535734588,136838.6267867294,2336.0,2008.0,0.1,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00054,"NSI Structure 122447538, Fort Bend County, TX",29.672163,-95.652445,0.0,0.0,1,1,0.0,0.0,8.205,2.27,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,405320.59127586475,202660.29563793237,2342.0,2003.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00055,"NSI Structure 122618021, Fort Bend County, TX",29.592993,-95.695172,0.0,0.0,1,1,0.0,0.0,4.696,6.89,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,471120.02240039955,235560.01120019978,2736.0,1997.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00056,"NSI Structure 122466129, Fort Bend County, TX",29.563637,-95.711177,0.0,0.0,1,1,0.0,0.0,12.298,3.19,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,413620.34179783356,206810.17089891678,2967.0,2013.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00057,"NSI Structure 123894921, Harris County, TX",29.682867,-95.618253,0.0,0.0,1,1,0.0,0.0,8.717,1.49,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,300262.0259062018,150131.0129531009,2510.0,2000.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00058,"NSI Structure 123428770, Harris County, TX",29.706012,-95.65507,0.0,0.0,1,1,0.0,0.0,2.905,4.11,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,211478.65899999999,105739.32949999999,2958.0,1984.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00059,"NSI Structure 122518886, Fort Bend County, TX",29.634543,-95.629146,0.0,0.0,1,1,0.0,0.0,7.048,3.58,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,442140.4989455547,221070.24947277736,2997.0,1976.0,0.1,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00060,"NSI Structure 122574625, Fort Bend County, TX",29.561799,-95.624154,0.0,0.0,1,1,0.1723,0.0,8.734,0.03,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,1299394.4814978966,649697.2407489483,5497.0,1998.0,0.1,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00061,"NSI Structure 122565793, Fort Bend County, TX",29.687474,-95.660903,0.0,0.0,1,1,0.0,0.0,2.539,5.01,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,243831.9639187538,121915.9819593769,1570.0,1986.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00062,"NSI Structure 124365117, Harris County, TX",29.701015,-95.615861,0.0,0.0,1,1,0.0,0.0,6.96,1.44,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,323805.42473458016,161902.71236729008,2680.0,1991.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00063,"NSI Structure 122553980, Fort Bend County, TX",29.648092,-95.728516,0.0,0.0,1,1,0.0,0.0,14.991,2.91,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,476832.6770575075,238416.33852875375,2468.0,2012.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00064,"NSI Structure 122567531, Fort Bend County, TX",29.689192,-95.693228,0.0,0.0,1,1,0.0,0.0,5.275,2.33,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,237756.20125893946,118878.10062946973,1977.0,2002.0,0.1,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00065,"NSI Structure 122681094, Fort Bend County, TX",29.59454,-95.607027,0.0,0.0,1,1,0.0,0.0,7.34,2.22,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,252814.35564327493,126407.17782163747,1919.0,1989.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00066,"NSI Structure 122475405, Fort Bend County, TX",29.684948,-95.740203,0.0,0.0,1,1,0.0,0.0,13.379,0.36,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,346603.47621146624,173301.73810573312,2353.0,2011.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00067,"NSI Structure 122617166, Fort Bend County, TX",29.702479,-95.722645,0.0,0.0,1,1,0.0,0.0,2.808,4.82,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,310732.60328442365,155366.30164221182,2470.0,2008.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00068,"NSI Structure 122610720, Fort Bend County, TX",29.525987,-95.638752,0.0,0.0,0,1,0.0,0.0,1.516,3.53,0.0,0.0,1,1,2.0,C,1.0,RES1-1SNB,219370.9752684756,109685.4876342378,757.0,2002.0,0.0,True,2.0,Crawlspace,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00069,"NSI Structure 122456507, Fort Bend County, TX",29.671573,-95.685953,0.0,0.0,0,1,0.0,0.0,24.974,1.31,0.0,0.0006,1,1,0.75,S,2.0,RES1-2SNB,323882.6304828459,161941.31524142294,1699.0,2014.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00070,"NSI Structure 122612228, Fort Bend County, TX",29.653925,-95.684137,0.0,0.0,1,1,0.0,0.0,11.095,0.08,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,721162.5967728561,360581.29838642804,2966.0,2015.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00071,"NSI Structure 122619445, Fort Bend County, TX",29.709995,-95.81693,0.0,0.0,1,1,0.0,0.0,18.198,2.24,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,1079804.2128296725,539902.1064148362,3857.0,2011.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00072,"NSI Structure 122600450, Fort Bend County, TX",29.670687,-95.73558,0.0,0.0,1,1,0.0,0.0,6.18,3.5,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,387046.85335767514,193523.42667883757,1641.0,2014.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00073,"NSI Structure 122470109, Fort Bend County, TX",29.659969,-95.731948,0.0,0.0,1,1,0.0,0.0,10.772,10.77,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,541223.727461717,270611.8637308585,2695.0,2012.0,0.1,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00074,"NSI Structure 122564210, Fort Bend County, TX",29.551457,-95.631313,0.0,0.0,1,1,0.0,0.0,12.236,5.31,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,925677.2882040077,462838.64410200383,2845.0,2013.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00075,"NSI Structure 122579509, Fort Bend County, TX",29.703553,-95.780064,0.0,0.0,1,1,0.0,0.0,4.75,7.47,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,534186.8078794169,267093.4039397084,2689.0,2007.0,0.1,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00076,"NSI Structure 122595123, Fort Bend County, TX",29.685308,-95.783394,0.0,0.0,1,1,0.0,0.0,6.03,1.55,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,1010219.8329010668,505109.9164505334,4698.0,2015.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00077,"NSI Structure 122540082, Fort Bend County, TX",29.700302,-95.802702,0.0,0.0,1,1,0.0,0.0,13.45,0.58,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,500581.11690477206,250290.55845238603,2352.0,2009.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00078,"NSI Structure 122555593, Fort Bend County, TX",29.71627,-95.749141,0.0,0.0,1,1,0.0,0.0,10.347,6.45,0.0,0.0,1,1,2.0,B,1.0,RES1-1SWB,665520.7350883759,332760.36754418793,2655.0,2001.0,0.1,True,2.0,Basement,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00079,"NSI Structure 122589691, Fort Bend County, TX",29.614328,-95.737139,0.0,0.0,1,1,0.0,0.0,13.428,2.6,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,359732.31010729517,179866.15505364758,2117.0,1987.0,0.1,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00080,"NSI Structure 123480963, Harris County, TX",29.698935,-95.632813,0.0,0.0,1,1,0.0,0.0,11.067,1.15,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,154764.03351520724,77382.01675760362,1963.0,1997.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
