zip,depth_ft,depth_unit_assumed,paid_building,paid_contents,damage_building,property_value,occupancy_type,n_floors,elevated,basement_type,lowest_floor_elev,lowest_adjacent_grade,duration_raw,flood_zone,cause_of_damage
77096,1.0,feet,141224.49,24939.09,132318.0,261871.0,11,1.0,False,0.0,59.0,58.3,0.0,AE,2
77096,2.0,feet,203038.35,20000.0,204288.0,259258.0,1,1.0,False,,56.5,56.0,0.0,AE,4
77035,2.0,feet,82587.93,0.0,86588.0,218108.0,1,1.0,False,0.0,,,0.0,AE,0
77096,1.0,feet,250000.0,0.0,258906.0,779320.0,11,1.0,False,0.0,,,0.0,AE,0
77077,1.0,feet,40433.0,6435.75,41683.0,279200.0,1,1.0,False,,,,0.0,X,2
77063,0.0,feet,,,1002.0,123965.0,11,2.0,False,,,,0.0,X,4
77070,4.833333333333333,inches,233671.92,0.0,226453.0,361036.0,11,2.0,False,0.0,122.3,121.7,0.0,AE,2
77082,0.0,feet,,,,,1,2.0,False,0.0,77.9,76.5,0.0,AE,0
77070,1.0,feet,17968.84,4740.94,18510.0,145978.0,1,2.0,False,,,,0.0,X,4
77069,3.0,feet,250000.0,100000.0,274962.0,1025775.0,1,2.0,False,0.0,,,0.0,X,2
77079,2.0,feet,200000.0,0.0,243904.0,338488.0,11,1.0,False,0.0,,,0.0,X,0
77041,2.0,feet,20000.0,694.14,26388.0,200203.0,11,2.0,False,0.0,,,0.0,X,4
77040,1.0,feet,51560.51,0.0,53061.0,112728.0,1,1.0,False,,,,0.0,AE,2
77099,0.0,feet,,,,,3,2.0,False,,74.8,73.5,0.0,AE,
77069,4.0,feet,206248.52,100000.0,190178.0,1001193.0,1,2.0,False,,113.1,111.9,0.0,AE,2
77096,1.0,feet,250000.0,100000.0,255953.0,699492.0,1,2.0,False,0.0,,,0.0,X,4
77074,1.0,feet,82162.68,0.0,53040.0,93459.0,11,1.0,False,0.0,63.4,0.0,0.0,AE,4
77042,2.0,feet,250000.0,100000.0,260400.0,466892.0,1,2.0,False,,,,0.0,X,2
77070,1.0,feet,212682.77,71863.72,191370.0,210711.0,1,1.0,False,0.0,,,0.0,X,0
77079,3.0,feet,250000.0,3015.47,263183.0,419295.0,1,1.0,False,0.0,,,0.0,X,0
77077,1.0,feet,,,611.0,164873.0,11,2.0,False,0.0,,,0.0,X,4
77096,,inches,152895.2,0.0,143476.0,319676.0,1,2.0,False,,,55.0,0.0,AE,2
77035,2.0,feet,103000.0,18125.84,107615.0,315471.0,1,1.0,False,,,,0.0,AE,4
77084,1.0,feet,73866.88,42917.75,75117.0,149159.0,1,1.0,False,,,,0.0,X,4
77079,4.0,feet,100000.0,40000.0,112627.0,439570.0,11,2.0,False,,,,0.0,X,2
77077,-2.0,feet,8205.7,0.0,9363.0,378199.0,1,3.0,True,,66.5,63.8,0.0,AE,1
77099,10.0,feet,48972.56,2392.41,50473.0,115889.0,11,1.0,False,0.0,79.1,77.8,0.0,AE,0
77041,-2.0,feet,84059.75,46169.2,78402.0,137200.0,11,2.0,False,0.0,,,0.0,X,4
77038,0.0,feet,73752.27,31078.05,74752.0,113148.0,11,1.0,False,,,,0.0,X,4
77074,2.0,feet,95943.14,30000.0,99551.0,156899.0,1,1.0,False,0.0,,,0.0,AE,2
77096,1.0,feet,99377.18,0.0,104377.0,265940.0,1,1.0,False,,,58.7,0.0,AE,2
77070,1.0,feet,73428.47,25548.95,71526.0,186773.0,11,2.0,False,0.0,,,0.0,X,2
77096,3.0,feet,250000.0,75500.0,256316.0,596976.0,1,1.0,False,,54.1,53.2,0.0,AE,4
77091,1.0,feet,877.42,0.0,2742.0,252396.0,1,2.0,False,,,,0.0,AE,4
77038,3.0,feet,97272.38,15800.0,98522.0,117895.0,1,1.0,False,0.0,85.6,85.3,0.0,AE,2
77079,3.0,feet,250000.0,100000.0,231849.0,378806.0,11,2.0,False,0.0,,,0.0,X,4
77080,2.0,feet,46725.62,21143.84,48726.0,110350.0,1,1.0,False,0.0,,,0.0,AE,0
77069,1.0,feet,296100.54,0.0,306101.0,4742867.0,6,3.0,False,2.0,110.5,113.9,0.0,AE,0
77092,1.0,feet,71062.18,0.0,66823.0,168356.0,1,1.0,False,,,,0.0,AE,4
77024,4.0,feet,250000.0,80000.0,258844.0,578404.0,11,2.0,False,0.0,65.7,62.4,0.0,AE,0
77084,0.0,feet,118047.64,70818.17,119298.0,228462.0,1,1.0,False,,,,0.0,X,0
77088,1.0,feet,48103.7,10647.32,48760.0,110229.0,1,1.0,False,,86.8,85.5,0.0,AE,4
77074,1.0,feet,165974.37,23612.08,169974.0,309983.0,1,1.0,False,,,,0.0,AE,2
77042,1.0,feet,42687.29,5606.79,42352.0,90630.0,1,2.0,False,,,,0.0,X,2
77079,4.0,feet,152387.09,80000.0,153637.0,267430.0,1,2.0,False,,,,0.0,X,2
77074,1.0,feet,37084.43,3662.28,38584.0,43303.0,16,2.0,False,0.0,,,0.0,AE,4
77096,2.0,feet,250000.0,89352.79,260000.0,305525.0,1,1.0,False,,,,0.0,AE,0
77377,0.0,feet,7964.02,0.0,8806.0,216491.0,1,1.0,False,,,,0.0,X,4
77074,11.0,feet,100000.0,0.0,108907.0,199431.0,1,1.0,False,,,,0.0,AE,4
77079,0.0,feet,33647.28,0.0,32760.0,420051.0,1,2.0,False,,,,0.0,X,0
77096,1.0,feet,206847.01,0.0,208097.0,269116.0,1,1.0,False,,54.5,52.9,0.0,AE,0
77072,1.0,feet,7865.99,4000.0,9865.0,326819.0,11,1.0,False,0.0,,,0.0,A,2
77074,1.0,feet,110006.97,51812.59,112006.0,267098.0,11,1.0,False,0.0,58.8,57.5,0.0,AE,2
77077,3.0,feet,250000.0,100000.0,357000.0,1751989.0,11,2.0,False,0.0,,,0.0,X,2
77096,4.0,feet,241076.71,35859.44,243076.0,799673.0,1,1.0,False,,,,0.0,AE,4
77088,2.0,feet,130201.91,35804.86,132201.0,173821.0,11,1.0,False,0.0,,,0.0,AE,2
77088,1.0,feet,60206.32,25200.0,58678.0,184821.0,11,1.0,False,0.0,,,0.0,AE,2
77070,1.0,feet,4081.29,1156.46,4956.0,172867.0,1,2.0,False,,,,0.0,X,4
77041,1.0,feet,36260.94,12218.78,34244.0,94494.0,11,2.0,False,0.0,,,0.0,X,2
77077,1.0,feet,90676.92,81179.04,86224.0,187249.0,1,1.0,False,,,,0.0,X,4
77074,2.0,feet,50901.38,19591.07,52151.0,138006.0,11,1.0,False,0.0,70.2,69.4,0.0,AE,2
77070,1.0,feet,171393.04,24491.07,158063.0,875254.0,11,2.0,False,,,,0.0,X,4
77070,0.0,feet,192270.78,82359.86,179276.0,326210.0,1,2.0,False,,,,0.0,X,4
77077,5.0,feet,248879.66,100000.0,236250.0,348005.0,1,2.0,False,,,,0.0,X,2
77042,1.0,feet,109257.83,46376.44,113508.0,236810.0,11,2.0,False,,,,0.0,X,4
77092,0.0,feet,158320.11,0.0,163320.0,476788.0,13,2.0,False,,63.4,63.1,0.0,AE,4
77074,2.0,feet,65341.58,12200.0,67342.0,175096.0,1,1.0,False,0.0,63.9,63.1,0.0,AE,4
77070,1.0,feet,116335.64,16764.0,107703.0,351171.0,11,2.0,False,,,,0.0,X,4
77091,,inches,,,,,13,2.0,False,,86.0,85.4,0.0,A,0
77079,3.0,feet,250000.0,100000.0,254250.0,401327.0,11,1.0,False,,,,0.0,AE,2
77096,3.0,feet,0.0,20000.0,,,6,1.0,False,,,,0.0,AE,0
77055,1.0,feet,7502.85,0.0,8753.0,436512.0,1,2.0,False,,,,0.0,X,0
77063,5.0,feet,200000.0,80000.0,201250.0,203112.0,1,2.0,False,,,,0.0,X,0
77096,,inches,,,,,11,2.0,True,,55.5,51.3,0.0,AE,2
77079,6.0,feet,250000.0,100000.0,251250.0,259035.0,1,2.0,False,,,,0.0,X,0
77084,1.0,feet,64871.82,18302.94,66122.0,244604.0,11,2.0,False,0.0,,,0.0,X,0
77068,3.0,feet,250000.0,78054.52,525336.0,1136008.0,1,2.0,False,,108.0,105.5,0.0,AE,4
77074,1.0,feet,18100.0,6435.75,51618.0,119778.0,11,1.0,False,0.0,,,0.0,X,2
77068,3.0,feet,116593.37,25000.0,114907.0,143273.0,11,1.0,False,0.0,103.8,102.1,0.0,AE,0
77068,2.0,feet,199845.74,65000.0,204096.0,394842.0,11,1.0,False,,107.7,106.7,0.0,X,2
77040,1.0,feet,25141.39,7424.96,26416.0,82887.0,11,1.0,False,0.0,,,0.0,X,4
77083,1.0,feet,4780.46,0.0,5753.0,193368.0,11,1.0,False,,,,0.0,X,4
77081,,invalid,5270.46,0.0,1217.0,69523.0,1,1.0,False,,,,0.0,X,4
77072,0.0,feet,,,,,1,1.0,False,0.0,,,0.0,AE,0
77096,4.0,feet,1553.97,0.0,11554.0,869623.0,1,1.0,True,,56.1,49.9,0.0,AE,0
77041,0.0,feet,,,410.0,214433.0,11,2.0,False,0.0,,,0.0,X,0
77077,0.0,feet,,,,,11,1.0,False,0.0,,,0.0,X,0
77094,2.0,feet,219729.89,5000.0,220980.0,704088.0,1,2.0,False,,,,0.0,X,0
77065,,inches,,,,,1,2.0,False,,,,0.0,X,0
77079,1.0,feet,250000.0,100000.0,245840.0,434743.0,11,3.0,False,,,,0.0,X,2
77074,3.0,feet,60349.26,21200.0,62349.0,138448.0,1,1.0,False,,,,0.0,AE,4
77082,0.0,feet,,,,,11,2.0,False,0.0,77.8,77.1,0.0,AE,2
77079,4.0,feet,0.0,0.0,291976.0,1110535.0,1,2.0,False,,80.4,,0.0,AE,2
77096,1.0,feet,98345.63,18309.04,97962.0,418045.0,11,1.0,False,0.0,,,0.0,X,0
77070,1.0,feet,99917.39,58355.8,94364.0,169015.0,1,1.0,True,,,,0.0,X,4
77066,0.0,feet,37026.21,0.0,38026.0,162188.0,11,1.0,False,,99.7,98.8,0.0,AE,2
77024,3.0,feet,31501.72,5082.62,32752.0,65940.0,1,2.0,False,,,,0.0,X,2
77074,1.0,feet,119827.85,43100.0,109549.0,164664.0,11,1.0,False,0.0,62.3,61.1,0.0,AE,4
77096,1.0,feet,124336.01,44062.53,109275.0,323890.0,11,2.0,False,,57.3,55.9,0.0,AE,2
77077,0.0,feet,6049.3,0.0,7299.0,183299.0,11,1.0,False,0.0,,,0.0,X,0
77096,2.0,feet,200412.25,19949.29,187803.0,268938.0,11,1.0,False,0.0,56.3,55.0,0.0,AE,0
77084,1.0,feet,250000.0,25743.51,251250.0,526276.0,1,2.0,False,,113.1,112.2,0.0,AE,0
77063,3.0,feet,236180.99,88866.3,253826.0,631231.0,11,2.0,True,,57.2,33.3,0.0,AE,0
77077,4.0,feet,33228.52,9538.22,33774.0,372951.0,11,2.0,False,0.0,,,0.0,X,2
77065,1.0,feet,84519.78,18817.16,78986.0,179711.0,1,1.0,False,,,,0.0,X,2
77024,2.0,feet,154254.92,38225.63,155505.0,395531.0,12,1.0,True,,,,0.0,X,2
77099,1.0,feet,77148.86,13800.0,79148.0,144279.0,11,1.0,False,0.0,79.2,78.0,0.0,AE,2
77063,1.0,feet,205971.81,30938.47,190115.0,599417.0,11,2.0,False,,,,0.0,X,4
77066,1.0,feet,47137.79,0.0,57137.0,113065.0,1,1.0,False,0.0,101.1,100.5,0.0,AE,2
77092,,inches,79673.33,24153.23,79120.0,170501.0,1,1.0,False,,,59.2,0.0,AE,2
77063,2.0,feet,150000.0,2219.83,285777.0,302363.0,1,2.0,False,,,,0.0,X,2
77072,0.0,feet,,,,,12,1.0,False,0.0,,,0.0,AE,4
77084,6.0,feet,150000.0,0.0,184110.0,237548.0,1,1.0,False,,,,0.0,X,4
77094,0.0,feet,,,,,11,2.0,False,,,,0.0,X,0
77096,1.0,feet,0.0,29942.26,,,11,1.0,False,0.0,,,0.0,AE,4
77084,2.0,feet,187464.31,52359.62,178508.0,202360.0,11,1.0,False,0.0,,,0.0,X,4
77092,1.0,feet,109474.74,49700.0,110975.0,165235.0,11,1.0,False,0.0,69.8,68.7,0.0,AE,0
77084,3.0,feet,122107.19,29032.58,109481.0,248101.0,1,1.0,False,,,,0.0,X,4
77035,1.0,feet,50370.79,10000.0,47226.0,140693.0,11,1.0,False,0.0,,,0.0,AE,2
77096,2.0,feet,114562.84,0.0,116714.0,165532.0,11,1.0,False,,,,0.0,AE,4
77035,,inches,80274.96,29541.09,68745.0,80305.0,1,1.0,False,,,,0.0,AE,2
77042,3.0,feet,250000.0,100000.0,285988.0,454266.0,11,2.0,False,,64.5,63.7,0.0,AE,4
77096,1.0,feet,96878.01,45982.11,90635.0,181466.0,1,1.0,False,,,,0.0,AE,2
77041,0.0,feet,,,,,1,2.0,False,0.0,,,0.0,X,
77074,2.0,feet,62647.27,0.0,67647.0,252637.0,1,1.0,False,,,,0.0,AE,0
77096,1.0,feet,0.0,14502.41,,,1,,False,,,,0.0,,4
77088,2.0,feet,121841.27,44167.92,123841.0,207317.0,1,1.0,False,,,,0.0,AE,4
77055,1.0,feet,,,718.0,197903.0,1,1.0,False,,,,0.0,X,2
77035,0.0,feet,104829.35,50000.0,97156.0,131927.0,11,1.0,False,,58.8,57.3,0.0,AE,2
77072,0.0,feet,7972.85,0.0,9472.0,176616.0,11,1.0,False,0.0,75.4,74.8,0.0,AE,4
77084,1.0,feet,71976.08,19056.66,71541.0,178757.0,1,2.0,False,0.0,,,0.0,X,2
77077,3.0,feet,192420.89,98668.21,170315.0,281588.0,1,2.0,False,0.0,73.1,71.8,0.0,AE,4
77088,1.0,feet,50735.3,6900.0,52735.0,110373.0,11,2.0,False,0.0,,,0.0,AE,0
77096,1.0,feet,1312258.96,0.0,1177415.0,5097429.0,15,2.0,False,0.0,,,0.0,AE,4
77077,0.0,feet,,,,,16,2.0,False,0.0,,,0.0,X,0
77041,1.0,feet,166893.79,40280.12,155616.0,713870.0,11,2.0,False,0.0,,,0.0,X,4
77035,2.0,feet,100000.0,10000.0,105753.0,139044.0,11,1.0,False,,57.6,56.7,0.0,AE,4
77092,2.0,feet,0.0,11282.71,,,3,2.0,False,,,,0.0,AE,4
77038,1.0,feet,35668.66,10394.52,36669.0,141897.0,1,1.0,False,,,,0.0,X,4
77084,2.0,feet,108519.26,93753.33,104564.0,182527.0,11,2.0,False,0.0,,,0.0,X,1
77079,4.0,feet,71157.1,60000.0,72407.0,146173.0,1,1.0,False,,,,0.0,X,2
77082,1.0,feet,67608.08,30857.37,65060.0,151652.0,11,2.0,False,0.0,79.6,79.0,0.0,AE,4
77069,7.0,feet,132000.0,66000.0,127502.0,138087.0,1,1.0,False,,,,0.0,AE,2
77074,1.0,feet,28537.62,0.0,30037.0,120552.0,1,1.0,False,,,,0.0,AE,2
77067,,inches,,,,,13,2.0,False,,96.0,95.3,0.0,AE,0
77041,1.0,feet,176368.9,63181.02,177618.0,1463659.0,18,2.0,False,0.0,,,0.0,X,4
77042,,inches,104407.14,10000.0,108657.0,312788.0,11,2.0,False,,,,0.0,X,2
77096,1.0,feet,141707.53,19395.66,145958.0,261658.0,11,1.0,False,,54.8,53.8,0.0,AE,2
77079,3.0,feet,442333.44,9536.28,443583.0,814718.0,13,3.0,False,0.0,,,0.0,X,4
77091,1.0,feet,19110.3,3435.28,20360.0,122701.0,1,1.0,False,0.0,,,0.0,X,4
77031,0.0,feet,59430.18,17256.62,57555.0,133358.0,1,1.0,False,,,,0.0,X,4
77055,,inches,36997.87,0.0,37998.0,973560.0,3,2.0,False,,,,0.0,X,2
77099,,inches,,,,,1,1.0,False,,,,0.0,A,
77056,11.0,feet,96988.49,0.0,96390.0,517602.0,1,3.0,True,0.0,52.0,51.8,0.0,AE,4
77024,2.0,feet,133741.1,69278.5,121512.0,234960.0,1,1.0,False,,,,0.0,X,1
77079,3.0,feet,250000.0,100000.0,212617.0,504602.0,1,2.0,False,,,,0.0,X,2
77077,0.0,feet,,,,,11,1.0,False,0.0,,,0.0,X,0
77056,2.0,feet,250000.0,100000.0,333737.0,1642858.0,11,2.0,False,0.0,,,0.0,X,0
77096,,inches,171776.37,19367.78,160835.0,218525.0,11,1.0,False,,56.5,55.6,0.0,AE,4
77081,0.0,feet,,,,,6,1.0,False,,,,0.0,X,0
77079,2.0,feet,372945.98,0.0,374196.0,906528.0,3,6.0,False,0.0,82.2,81.4,0.0,AE,0
77084,2.0,feet,75383.11,41342.34,71714.0,228040.0,11,2.0,False,,,,0.0,X,2
77074,1.0,feet,155245.55,0.0,156495.0,4022203.0,6,3.0,False,,75.9,75.1,0.0,AE,4
77043,1.0,feet,24326.41,0.0,25326.0,150097.0,6,1.0,False,,,,0.0,X,0
77084,2.0,feet,111000.0,31110.86,134167.0,150105.0,11,1.0,False,,,,0.0,AE,2
77014,,inches,2972.46,0.0,4106.0,208961.0,1,2.0,False,,,,0.0,X,4
77079,5.0,feet,250000.0,91866.07,251250.0,648912.0,11,2.0,False,0.0,,,0.0,X,0
77071,,inches,1321.6,0.0,2534.0,469097.0,11,2.0,False,,,,0.0,X,2
77035,1.0,feet,70000.0,30000.0,95675.0,151002.0,1,1.0,False,0.0,,,0.0,AE,2
77096,1.0,feet,250000.0,100000.0,256103.0,795632.0,1,1.0,False,,,,0.0,X,2
77041,,inches,144460.55,61467.03,129334.0,435106.0,11,1.0,False,,,,0.0,X,4
77079,4.0,feet,250000.0,100000.0,251250.0,260048.0,1,1.0,False,,,,0.0,X,0
77084,4.0,feet,97002.75,41483.53,93045.0,123888.0,1,1.0,False,,105.8,104.9,0.0,AE,2
77096,4.0,feet,60607.67,0.0,62608.0,342014.0,6,1.0,False,,,,0.0,AE,2
77040,1.0,feet,24599.42,0.0,24830.0,237158.0,11,2.0,False,,,,0.0,X,2
77079,5.0,feet,125000.0,50000.0,147626.0,783489.0,11,2.0,False,,,,0.0,X,4
77095,1.0,feet,69632.27,34984.25,66469.0,257472.0,1,1.0,False,,,,0.0,X,2
77072,0.0,feet,,,,,13,2.0,False,0.0,70.8,69.3,0.0,AE,0
77092,1.0,feet,114790.01,39323.9,116790.0,260875.0,1,1.0,False,,,,0.0,AE,2
77084,0.0,feet,,,,,1,1.0,False,0.0,,,0.0,X,4
77074,1.0,feet,500000.0,0.0,503639.0,6492035.0,6,1.0,False,,,,0.0,X,4
77024,3.0,feet,159491.8,0.0,160741.0,281791.0,2,2.0,False,,71.7,69.9,0.0,AE,2
77035,1.0,feet,,,843.0,209548.0,1,1.0,False,,,,0.0,X,2
77070,0.0,feet,,,,,11,1.0,False,0.0,,,0.0,X,0
77084,2.0,feet,150000.0,30139.51,154834.0,265284.0,1,1.0,False,,,,0.0,X,2
77096,1.0,feet,250000.0,0.0,237961.0,1096050.0,11,2.0,True,0.0,51.3,50.7,0.0,AE,2
77088,3.0,feet,45400.0,25200.0,80878.0,120794.0,1,1.0,False,,79.1,78.1,0.0,AE,4
77096,0.0,feet,,,596.0,280379.0,1,1.0,False,0.0,56.0,55.4,0.0,AE,0
77070,0.0,feet,94250.2,63956.56,92085.0,164306.0,11,1.0,False,0.0,,,0.0,X,4
77084,2.0,feet,78651.09,16136.68,76269.0,190422.0,11,1.0,False,,,,0.0,AE,2
77083,4.0,feet,15434.49,0.0,17214.0,176764.0,1,1.0,False,0.0,85.6,84.8,0.0,AE,4
77035,1.0,feet,79238.92,25200.0,68368.0,133639.0,1,1.0,False,0.0,,,0.0,X,2
77072,0.0,feet,,,,,18,1.0,False,0.0,70.5,69.5,0.0,AE,0
77096,1.0,feet,500000.0,0.0,634135.0,2012553.0,13,2.0,False,0.0,,,0.0,AE,4
77094,0.0,feet,,,,,1,2.0,False,,,,0.0,X,4
77096,1.0,feet,53304.13,0.0,54554.0,747440.0,18,1.0,False,0.0,53.7,53.3,0.0,X,1
77084,2.0,feet,500000.0,0.0,588021.0,1455342.0,3,3.0,False,,108.5,107.0,0.0,AE,0
77042,3.0,feet,171822.4,30208.94,173072.0,220834.0,11,1.0,False,0.0,,,0.0,X,0
77096,3.0,feet,175889.16,63000.0,177139.0,454501.0,11,1.0,True,,57.1,50.2,0.0,AE,4
77096,1.0,feet,150595.61,75100.0,151846.0,438974.0,11,2.0,False,0.0,,,0.0,AE,0
77040,1.0,feet,19884.41,40887.58,21134.0,1815172.0,18,1.0,False,0.0,,,0.0,X,2
77099,1.0,feet,40258.96,5048.67,41508.0,118519.0,11,2.0,False,0.0,,,0.0,AE,2
77091,1.0,feet,2069.55,0.0,3020.0,226917.0,11,2.0,False,,,,0.0,X,4
77096,,inches,974.73,0.0,4267.0,495046.0,11,1.0,False,,60.0,59.2,0.0,AE,2
77096,0.0,feet,,,1017.0,137527.0,11,1.0,False,0.0,,,0.0,X,2
77041,2.0,feet,71946.1,49705.4,73196.0,243128.0,11,1.0,False,0.0,,,0.0,X,0
77096,4.0,feet,248509.22,100000.0,249759.0,401979.0,11,1.0,False,0.0,52.6,51.8,0.0,AE,4
77084,0.0,feet,28064.41,0.0,30064.0,154354.0,1,1.0,False,,116.7,115.4,0.0,AE,0
77096,1.0,feet,170829.6,100000.0,160694.0,292420.0,1,1.0,False,0.0,54.7,53.8,0.0,AE,4
77084,4.0,feet,157504.99,87735.45,151593.0,219497.0,1,2.0,False,,,,0.0,X,4
77079,0.0,feet,,,,,1,1.0,False,,,,0.0,X,0
77084,4.0,feet,109134.45,24182.6,103371.0,327512.0,11,2.0,False,0.0,105.2,104.1,0.0,AE,0
77094,2.0,inches,149344.99,24460.98,149147.0,572053.0,1,2.0,False,,,,0.0,X,4
77042,1.0,feet,36316.25,0.0,37566.0,160073.0,1,1.0,False,,,,0.0,X,0
77091,2.0,feet,86981.84,11967.14,81188.0,197931.0,1,2.0,False,0.0,,,0.0,B,4
77074,1.0,feet,0.0,250000.0,,,6,1.0,False,,,,0.0,X,0
77040,1.0,feet,27225.5,6131.25,28725.0,85101.0,11,1.0,False,0.0,,,0.0,AE,2
77035,0.0,feet,5478.27,0.0,6728.0,1475353.0,3,2.0,False,0.0,65.3,64.1,0.0,AE,0
77074,2.0,feet,30000.0,5863.7,36061.0,208902.0,1,2.0,False,,,,0.0,AE,4
77079,5.0,feet,130227.06,33002.39,135227.0,393930.0,1,2.0,False,,,75.5,0.0,AE,4
77072,0.0,feet,,,,,18,1.0,False,0.0,77.5,76.8,0.0,X,0
77074,3.0,feet,50000.0,0.0,84932.0,185612.0,11,1.0,False,0.0,58.6,57.8,0.0,AE,2
77096,1.0,feet,52422.96,16699.41,54422.0,155917.0,1,1.0,False,,,,0.0,AE,2
77074,1.0,feet,21879.26,0.0,23129.0,104884.0,6,1.0,False,0.0,,,0.0,X,0
77077,0.0,feet,,,,,1,2.0,False,0.0,,,0.0,X,0
77070,5.0,feet,196928.34,25000.0,180031.0,376746.0,1,2.0,False,,124.4,122.7,0.0,AE,2
77056,2.0,feet,250000.0,100000.0,251712.0,629856.0,1,2.0,False,0.0,,,0.0,X,4
77096,1.0,feet,171328.23,100000.0,155978.0,257194.0,1,1.0,False,,,,0.0,X,2
77038,1.0,feet,43231.8,3200.54,44231.0,143427.0,1,1.0,False,,,,0.0,X,4
77071,1.0,feet,,,170.0,243740.0,11,2.0,False,0.0,,,0.0,X,2
77063,1.0,feet,41139.29,1818.75,39949.0,281823.0,11,1.0,False,,,,0.0,X,2
77041,1.0,feet,91613.08,45391.91,88139.0,112408.0,11,2.0,False,,,,0.0,X,4
77072,1.0,feet,4070.13,0.0,5070.0,125612.0,1,1.0,False,,,,0.0,X,4
77074,3.0,feet,36239.72,26300.0,36359.0,118254.0,1,2.0,False,,61.4,,0.0,AE,4
77096,3.0,feet,0.0,25000.0,,,1,1.0,False,,,,0.0,AE,4
77024,0.0,feet,,,,,11,2.0,False,0.0,68.0,63.7,0.0,AE,0
77082,0.0,feet,,,,,11,2.0,False,0.0,78.5,76.1,0.0,AE,0
77074,2.0,feet,124108.22,50000.0,122078.0,163445.0,1,1.0,False,0.0,60.5,59.4,0.0,AE,2
77063,1.0,feet,75609.97,48820.12,70447.0,117293.0,11,2.0,False,0.0,,,0.0,X,2
77056,2.0,feet,250000.0,100000.0,327619.0,876325.0,11,2.0,False,0.0,,,0.0,AE,1
77084,5.0,feet,186977.16,100000.0,173387.0,197254.0,1,2.0,False,,,,0.0,X,4
77084,0.0,feet,,,,,1,1.0,False,,,,0.0,X,0
77088,,inches,38240.95,3666.62,40241.0,115178.0,16,2.0,False,,,,0.0,AE,2
77035,0.0,feet,135836.39,60672.22,130011.0,286491.0,11,1.0,False,0.0,53.1,51.8,0.0,AE,4
77096,1.0,feet,,,,,1,1.0,False,0.0,55.7,54.8,0.0,AE,2
77064,0.0,feet,,,,,1,1.0,False,0.0,,,0.0,X,
77074,1.0,feet,90207.81,37484.82,92208.0,153956.0,11,1.0,False,,,,0.0,AE,4
77080,1.0,feet,5704.92,0.0,5905.0,104400.0,1,,False,,,,0.0,,4
77084,0.0,feet,,,,,1,2.0,False,,111.1,110.2,0.0,AE,0
77069,2.0,feet,205567.8,40243.55,192586.0,501419.0,11,2.0,False,0.0,114.5,112.3,0.0,AE,4
77088,1.0,feet,,,171.0,188209.0,1,1.0,False,,,,0.0,X,4
77096,3.0,feet,250000.0,30000.0,250525.0,785596.0,1,1.0,False,,,,0.0,AE,2
