fd_id,occtype,st_damcat,found_ht,found_type,num_story,sqft,ftprntsqft,val_struct,val_cont,ground_elv,med_yr_blt,firmzone,bldheight,usastrucid,longitude,latitude
123342928,RES1-2SNB,RES,0.75,S,2,1551.0,2176,316818.10007857,158409.050039285,114.85071,2004,X,5.04,,-95.672816333781,29.83275919317
123342935,RES1-1SNB,RES,0.75,S,1,2089.0,2687,395155.00952125905,197577.50476062953,113.506996,2004,X,4.68,,-95.672851217407,29.831932235899
123342861,RES1-1SNB,RES,0.75,S,1,2272.0,2698,408918.03712961863,204459.01856480932,115.1058,2004,X,4.23,,-95.671468018166,29.834026777122
123342874,RES1-1SWB,RES,2.0,B,1,2015.0,2568,517282.25152742356,258641.12576371178,114.28989,2004,X,4.46,,-95.671816466787,29.833968539265
123342909,RES1-2SNB,RES,0.75,S,2,2696.0,1936,452488.25273287983,226244.12636643992,114.43234,2004,X,5.27,,-95.671838222091,29.833829661687
123342914,RES1-1SNB,RES,0.75,S,1,1667.0,2267,333780.0205530566,166890.0102765283,114.435196,2004,X,4.06,,-95.673429281024,29.832505048757
123344349,RES1-1SNB,RES,0.75,S,1,1766.0,2296,346726.4692828283,173363.23464141414,114.61572,2004,X,4.88,,-95.672891351061,29.833720508667
123344351,RES1-1SNB,RES,0.75,S,1,2967.0,2396,480463.2845438585,240231.64227192925,114.17705,2004,X,3.08,,-95.672258618774,29.833734066103
123344359,RES1-1SNB,RES,0.75,S,1,2249.0,2754,403773.2186270618,201886.6093135309,114.56259,2004,X,3.86,,-95.672572141022,29.833725206287
123344367,RES1-1SNB,RES,0.75,S,1,1766.0,1997,346726.4692828283,173363.23464141414,114.405525,2004,X,4.53,,-95.672415527578,29.833712312338
123344347,RES1-1SNB,RES,0.75,S,1,2615.0,2079,443505.8492756442,221752.9246378221,114.61301,2004,X,4.68,,-95.672734061728,29.833719391062
123350829,RES1-1SNB,RES,0.75,S,1,1698.0,2181,227171.20968851473,113585.60484425737,106.115204,2001,X,4.64,,-95.688105515772,29.79744155497
123350882,RES1-1SNB,RES,0.75,S,1,1673.0,1999,223068.2418,111534.1209,105.96442,2001,X,5.19,,-95.687298686939,29.797623372403
123350887,RES1-1SNB,RES,0.75,S,1,1997.0,2486,246595.2986,123297.6493,106.193214,2001,X,5.29,,-95.687632644342,29.797794322572
123350889,RES1-1SNB,RES,0.75,S,1,1760.0,2223,232117.81819359507,116058.90909679754,106.33736,2001,X,4.66,,-95.688096035228,29.797805888893
123350849,RES1-1SNB,RES,0.75,S,1,1849.0,2158,236640.37459999998,118320.18729999999,106.38319,2001,X,3.86,,-95.68763417149,29.797993293564
123350852,RES1-1SNB,RES,0.75,S,1,1595.0,2095,218431.98825034936,109215.99412517468,106.22396,2001,X,5.63,,-95.688114354287,29.797629010763
123350891,RES1-1SNB,RES,0.75,S,1,1727.0,2660,229514.30662476685,114757.15331238342,106.2146,2001,X,4.38,,-95.687741422154,29.798357186602
123350902,RES1-1SNB,RES,0.75,S,1,1595.0,2335,218431.98825034936,109215.99412517468,106.02967,2001,X,4.95,,-95.688170768381,29.798241073552
123350905,RES1-1SNB,RES,0.75,S,1,1799.0,2529,232976.2054,116488.1027,106.526146,2001,X,5.55,,-95.687597456181,29.797457017396
123350923,RES1-1SNB,RES,0.75,S,1,1763.0,2502,233122.6442672882,116561.3221336441,106.70867,2001,X,5.52,,-95.68762583713,29.797234983761
123350926,RES1-1SNB,RES,0.75,S,1,1509.0,2154,208726.065,104363.0325,106.06031,2001,X,5.76,,-95.687629798713,29.797623990356
123350929,RES1-1SNB,RES,0.75,S,1,1896.0,2668,239946.073,119973.0365,106.2921,2001,X,5.63,,-95.687286337518,29.79723938499
123350934,RES1-1SNB,RES,0.75,S,1,1685.0,1901,226104.1011390596,113052.0505695298,105.88448,2001,X,4.3,,-95.688002742427,29.798353237603
123350860,RES1-1SNB,RES,0.75,S,1,1632.0,2115,221646.25547242007,110823.12773621004,106.10981,2001,X,4.47,,-95.688103373775,29.797980343304
123350911,RES1-1SNB,RES,0.75,S,1,1795.0,2384,232676.50540000002,116338.25270000001,106.20291,2001,X,4.67,,-95.687299695598,29.79743276976
123350912,RES1-1SNB,RES,0.75,S,1,1733.0,2431,229992.64451404853,114996.32225702427,106.18128,2001,X,4.81,,-95.687597162566,29.798215111498
123350936,RES1-1SNB,RES,0.75,S,1,1760.0,2360,232117.81819359507,116058.90909679754,106.45591,2001,X,5.53,,-95.688104842727,29.797286215016
123352251,RES1-1SNB,RES,0.75,S,1,1599.0,2257,284326.68700282084,142163.34350141042,120.60052,1995,X,5.17,,-95.694679488533,29.828567791356
123352233,RES1-1SNB,RES,0.75,S,1,1472.0,1935,267935.7003827933,133967.85019139666,120.60084,1995,X,6.53,,-95.694690944066,29.828909690565
123352351,RES1-1SNB,RES,0.75,S,1,1440.0,519,263637.17664214055,131818.58832107027,121.19928,1995,X,7.69,,-95.694684931081,29.829446875358
123352342,RES1-1SNB,RES,0.75,S,1,1472.0,1923,267935.7003827933,133967.85019139666,120.555336,1995,X,4.89,,-95.694681247095,29.828398800803
123352343,RES1-1SNB,RES,0.75,S,1,1623.0,2664,287304.169873518,143652.084936759,121.33848,1995,X,5.08,,-95.694653268453,29.829627818627
123352401,RES1-1SNB,RES,0.75,S,1,1440.0,2160,263637.17664214055,131818.58832107027,120.58768,1995,X,4.07,,-95.694678333396,29.828740364726
123352278,RES1-1SNB,RES,0.75,S,1,1472.0,1995,267935.7003827933,133967.85019139666,121.062935,1995,X,4.82,,-95.694685940562,29.829255413893
123352279,RES1-1SNB,RES,0.75,S,1,1520.0,2403,274256.30840839195,137128.15420419598,120.7261,1995,X,5.64,,-95.694687678108,29.829071800553
123352370,RES1-1SNB,RES,0.75,S,1,1351.0,2204,252112.89174752656,126056.44587376328,120.31957,1995,X,4.2,,-95.694634887985,29.828002881062
123352377,RES1-1SNB,RES,0.75,S,1,1436.0,1996,263095.08761718415,131547.54380859208,120.375114,1995,X,4.29,,-95.694666820063,29.828228185411
123353706,RES1-1SNB,RES,0.75,S,1,2299.0,2676,213850.06279161174,106925.03139580587,109.98956,2009,X,4.8,,-95.700952547301,29.798093928769
123353686,RES1-1SNB,RES,0.75,S,1,2662.0,1907,237740.8370953905,118870.41854769526,109.50266,2009,X,4.74,,-95.701217874628,29.798598142757
123353697,RES1-1SNB,RES,0.75,S,1,3383.0,2497,286743.10981572,143371.55490786,109.71865,2009,X,4.87,,-95.700545217875,29.798125859434
123353749,RES1-1SWB,RES,2.0,B,1,3383.0,2447,392231.40422096703,196115.70211048351,109.57399,2009,X,4.96,,-95.701407800346,29.798478936485
123353868,RES1-1SNB,RES,0.75,S,1,2199.0,2683,211101.07162252502,105550.53581126251,109.56801,2009,X,3.95,,-95.700540541282,29.7986109685
123353778,RES1-1SNB,RES,0.75,S,1,3383.0,2486,286743.10981572,143371.55490786,109.56196,2009,X,4.58,,-95.700754291432,29.798593080022
123353901,RES1-1SNB,RES,0.75,S,1,1721.0,2115,185555.4077986065,92777.70389930325,109.834984,2009,X,3.71,,-95.700959778542,29.798615048183
123353893,RES3A,RES,0.5,S,1,1814.0,1814,309817.3247911697,108436.0636769094,110.47039,2009,AE,0.11,,-95.703534904459,29.79931533075
123353896,RES1-1SNB,RES,0.75,S,1,2378.0,2307,218809.7174005515,109404.85870027576,109.662994,2009,X,3.01,,-95.700354054983,29.798587643392
123353923,RES3A,RES,0.5,S,1,12573.0,12573,1863319.4988066654,652161.8245823329,111.10903,2009,AE,1.11,,-95.703543842211,29.798963072669
123353932,RES1-1SNB,RES,0.75,S,1,1672.0,2145,182442.3773639535,91221.18868197675,109.875374,2009,X,4.7,,-95.700751352432,29.79814221786
123355970,RES1-2SNB,RES,0.75,S,2,3135.0,2786,359814.42129671585,179907.21064835793,112.88154,2006,X,5.17,,-95.6975797949,29.811864867208
123355976,RES1-1SNB,RES,0.75,S,1,2261.0,2656,304450.0219279451,152225.01096397254,113.15484,2006,X,4.94,,-95.697254296555,29.811402384137
123355980,RES1-2SNB,RES,0.75,S,2,2887.0,2791,346228.72568059206,173114.36284029603,112.96444,2006,X,6.02,,-95.698082885161,29.811605459049
123355981,RES1-2SNB,RES,0.75,S,2,3297.0,2499,371542.56052015204,185771.28026007602,113.29033,2006,X,5.94,,-95.698086265528,29.810967171864
123355984,RES1-2SNB,RES,0.75,S,2,3091.0,2476,359142.8154387939,179571.40771939696,115.37249,2006,X,5.5,,-95.70053386135,29.811397567781
123356017,RES1-2SNB,RES,0.75,S,2,2696.0,2186,336108.9161992219,168054.45809961096,114.943535,2006,X,5.37,,-95.6993591919,29.811317774016
123355949,RES1-2SNB,RES,0.75,S,2,2621.0,2337,329987.41096087504,164993.70548043752,112.85842,2006,X,6.02,,-95.697157328138,29.809826579749
123355950,RES1-2SNB,RES,0.75,S,2,2294.0,2803,305975.38945931214,152987.69472965607,112.55496,2006,X,5.57,,-95.697520692521,29.810861940161
123355985,RES1-2SNB,RES,0.75,S,2,4244.0,2548,477151.15578299173,238575.57789149586,115.159706,2006,X,5.74,,-95.700266718885,29.811777509218
123355989,RES1-2SNB,RES,0.75,S,2,3434.0,2237,385984.3090134138,192992.1545067069,113.04958,2006,X,5.98,,-95.69808143667,29.81145177864
123356020,RES1-2SNB,RES,0.75,S,2,3492.0,2382,393503.2028093194,196751.6014046597,112.88242,2006,X,5.74,,-95.697231953476,29.810471639854
123356025,RES1-1SNB,RES,0.75,S,1,2294.0,2427,305975.38945931214,152987.69472965607,113.243256,2006,X,4.53,,-95.697586851525,29.811705604368
123356026,RES1-2SNB,RES,0.75,S,2,3432.0,2674,385774.05496425036,192887.02748212518,114.687035,2006,X,5.41,,-95.699844352211,29.81180572449
123356028,RES1-1SNB,RES,0.75,S,1,3628.0,2468,406298.58874758444,203149.29437379222,112.932526,2006,X,4.67,,-95.697899039415,29.810840056905
123356029,RES1-2SNB,RES,0.75,S,2,3426.0,2307,386546.76408333174,193273.38204166587,113.17863,2006,X,5.23,,-95.697253201304,29.811245209698
123356030,RES1-2SNB,RES,0.75,S,2,2723.0,2100,337817.6408698813,168908.82043494066,112.94701,2006,X,5.4,,-95.697593434268,29.811548037246
123356032,RES1-2SNB,RES,0.75,S,2,2723.0,2286,337817.6408698813,168908.82043494066,113.39449,2006,X,6.05,,-95.697252197186,29.81155144784
123355956,RES1-2SNB,RES,0.75,S,2,2273.0,2556,304307.1947931584,152153.5973965792,112.94933,2006,X,5.93,,-95.697236443902,29.810171162207
123355959,RES1-2SNB,RES,0.75,S,2,2723.0,2130,336591.000989721,168295.5004948605,112.655235,2006,X,6.0,,-95.697215358095,29.810322604444
123355963,RES1-1SNB,RES,0.75,S,1,3432.0,2370,385774.05496425036,192887.02748212518,115.043396,2006,X,4.72,,-95.699389067556,29.811495043122
123355966,RES1-2SNB,RES,0.75,S,2,2294.0,2739,305975.38945931214,152987.69472965607,112.61756,2006,X,5.04,,-95.697171144295,29.810871234638
123356005,RES1-2SNB,RES,0.75,S,2,2563.0,2462,327212.1202754519,163606.06013772596,115.02127,2006,X,5.35,,-95.699390465898,29.8116720328
123356006,RES1-2SNB,RES,0.75,S,2,3432.0,2409,385774.05496425036,192887.02748212518,114.99788,2006,X,5.76,,-95.699368761962,29.811123771064
123356007,RES1-2SNB,RES,0.75,S,2,3432.0,2147,385774.05496425036,192887.02748212518,113.02035,2006,X,5.85,,-95.697265254034,29.810016846927
123356008,RES1-2SNB,RES,0.75,S,2,3621.0,2592,408539.4753033221,204269.73765166104,112.960205,2006,X,5.73,,-95.696979958364,29.809743107216
123356010,RES1-2SNB,RES,0.75,S,2,3135.0,2452,359814.42129671585,179907.21064835793,113.1586,2006,X,5.56,,-95.697575876293,29.811236925443
123356011,RES1-2SNB,RES,0.75,S,2,3824.0,2321,426660.3203889168,213330.1601944584,115.253204,2006,X,5.44,,-95.700318306733,29.811465392555
123356012,RES1-2SNB,RES,0.75,S,2,3725.0,2193,416395.91952617647,208197.95976308823,115.3414,2006,X,5.05,,-95.700266327565,29.810883835044
123356014,RES1-2SNB,RES,0.75,S,2,2555.0,2701,325465.4518156272,162732.7259078136,112.83234,2006,X,5.54,,-95.698076292801,29.811303713548
123356050,RES1-1SNB,RES,0.75,S,1,2325.0,2483,310658.97077435587,155329.48538717793,115.007225,2006,X,4.16,,-95.700054170061,29.811800893373
123356051,RES1-2SNB,RES,0.75,S,2,3432.0,2687,385774.05496425036,192887.02748212518,114.85223,2006,X,5.66,,-95.699819428059,29.810993131521
123355992,RES1-1SNB,RES,0.75,S,1,2922.0,2703,348129.11790465954,174064.55895232977,114.93556,2006,X,4.12,,-95.699839011469,29.811441730805
123355993,RES1-2SNB,RES,0.75,S,2,2678.0,2129,333735.2679636678,166867.6339818339,112.76644,2006,X,5.2,,-95.697699498653,29.810839469179
123355994,RES1-2SNB,RES,0.75,S,2,3513.0,2353,394275.8701612676,197137.9350806338,113.24163,2006,X,6.22,,-95.698106337673,29.811147609534
123355998,RES1-2SNB,RES,0.75,S,2,3600.0,2407,403376.48756690946,201688.24378345473,113.23606,2006,X,5.47,,-95.69756313212,29.811393665344
123355999,RES1-1SNB,RES,0.75,S,1,3399.0,3344,382302.3735201345,191151.18676006724,115.00378,2006,X,4.69,,-95.700031514025,29.810962342035
123356033,RES1-2SNB,RES,0.75,S,2,3432.0,2688,385774.05496425036,192887.02748212518,114.91694,2006,X,5.85,,-95.699379265676,29.811855842945
123356034,RES1-2SNB,RES,0.75,S,2,3910.0,2810,435543.1569481985,217771.57847409925,112.984726,2006,X,5.49,,-95.698095492006,29.811794936542
123356037,RES1-2SNB,RES,0.75,S,2,3308.0,2739,372705.0536691597,186352.52683457985,114.96274,2006,X,5.08,,-95.700073626968,29.81142031949
123356042,RES1-1SNB,RES,0.75,S,1,2780.0,2788,340077.6864009958,170038.8432004979,115.04181,2006,X,4.17,,-95.69954218288,29.810961529148
123356045,RES1-2SNB,RES,0.75,S,2,3102.0,2109,357033.34380190884,178516.67190095442,112.55725,2006,X,5.63,,-95.697347305117,29.810878813253
123356046,RES1-2SNB,RES,0.75,S,2,3135.0,2518,358507.9095423775,179253.95477118876,112.90534,2006,X,5.44,,-95.697228993372,29.81062817846
123359602,RES1-2SNB,RES,0.75,S,2,2670.0,2307,330826.090305997,165413.0451529985,115.3885,2006,X,6.55,,-95.701293031817,29.810572635146
123359603,RES1-2SNB,RES,0.75,S,2,3124.0,2322,356730.28022202314,178365.14011101157,115.37819,2006,X,6.19,,-95.7007985024,29.809767965849
123359604,RES1-2SNB,RES,0.75,S,2,3746.0,2102,417066.6931287454,208533.3465643727,115.11401,2006,X,6.39,,-95.70135749526,29.811015977454
123359609,RES1-2SNB,RES,0.75,S,2,3746.0,2281,417066.6931287454,208533.3465643727,115.95683,2006,X,6.06,,-95.700893165624,29.810587427384
123359610,RES1-1SNB,RES,0.75,S,1,3434.0,2204,384591.8885571149,192295.94427855744,115.72485,2006,X,4.66,,-95.700937999649,29.810234192099
123359614,RES1-1SNB,RES,0.75,S,1,3125.0,2146,355495.9033476408,177747.9516738204,115.41699,2006,X,4.85,,-95.70112027794,29.810223648865
123359650,RES1-2SNB,RES,0.75,S,2,3424.0,2316,383544.22940976213,191772.11470488107,115.305145,2006,X,6.1,,-95.700983166362,29.809793326349
123359634,RES1-2SNB,RES,0.75,S,2,2670.0,2137,330826.090305997,165413.0451529985,115.341354,2006,X,5.88,,-95.701641109761,29.810220083818
123359635,RES1-2SNB,RES,0.75,S,2,3553.0,2126,395603.7222783186,197801.8611391593,115.42643,2006,X,6.4,,-95.701337398624,29.809800631199
123359636,RES1-2SNB,RES,0.75,S,2,2757.0,2147,338688.34716416924,169344.17358208462,115.36482,2006,X,6.45,,-95.700613556683,29.809741316111
123359637,RES1-2SNB,RES,0.75,S,2,2930.0,2277,346053.7090609331,173026.85453046655,115.47874,2006,X,5.47,,-95.70044818911,29.809844435007
123359638,RES1-2SNB,RES,0.75,S,2,2822.0,2223,340094.4565343681,170047.22826718405,115.88232,2006,X,5.62,,-95.701105695315,29.810537660366
123359657,RES1-1SNB,RES,0.75,S,1,3133.0,2587,355847.06591654895,177923.53295827447,115.43858,2006,X,4.93,,-95.701293692847,29.810239660132
123359661,RES1-2SNB,RES,2.0,C,2,2920.0,510,351865.8148262113,175932.90741310565,108.89139,2006,X,0.0,22157717,-95.700524476,29.8106672455
123359620,RES1-2SNB,RES,0.75,S,2,2069.0,2555,284952.3007369376,142476.1503684688,116.25941,2006,X,5.31,,-95.700753482219,29.810331304879
123359621,RES1-2SNB,RES,0.75,S,2,2292.0,2794,304714.19557983,152357.097789915,115.579185,2006,X,5.04,,-95.701160102683,29.809797509275
123359622,RES1-2SNB,RES,0.75,S,2,2277.0,2679,303527.63642091776,151763.81821045888,115.45523,2006,X,5.61,,-95.701188891585,29.81110432749
123359630,RES1-1SNB,RES,0.75,S,1,2219.0,2947,297768.4904095462,148884.2452047731,115.35298,2006,X,4.21,,-95.701466889185,29.81024033736
123359647,RES1-2SNB,RES,0.75,S,2,3151.0,2178,356626.7382993327,178313.36914966634,115.29413,2006,X,5.8,,-95.701459910597,29.810567260729
123360581,RES1-2SNB,RES,0.75,S,2,3406.0,1773,801087.7789983728,400543.8894991864,105.714874,1988,X,5.86,,-95.704800464457,29.767639868337
123360555,RES1-2SNB,RES,0.75,S,2,3010.0,1946,734215.796643926,367107.898321963,104.98545,1988,X,5.66,,-95.705175083248,29.766877895817
123360603,RES1-2SNB,RES,0.75,S,2,3305.0,1908,782303.5965637139,391151.7982818569,106.01663,1988,X,5.96,,-95.704216618092,29.76747501349
123360635,RES1-2SNB,RES,0.75,S,2,3381.0,1983,796466.5208085551,398233.26040427753,105.028244,1988,X,6.49,,-95.704934153579,29.766940641696
123360562,RES1-1SNB,RES,0.75,S,1,3464.0,3194,811737.4109617292,405868.7054808646,106.63064,1988,X,4.17,,-95.704587245991,29.767819631024
123360569,RES1-2SNB,RES,0.75,S,2,3379.0,2720,794510.4030681234,397255.2015340617,105.858765,1988,X,5.94,,-95.704345433802,29.767291150052
123360576,RES1-2SNB,RES,0.75,S,2,3397.0,2831,797834.0251657488,398917.0125828744,105.13861,1988,X,5.72,,-95.704717529815,29.767002961121
123360617,RES1-2SNB,RES,0.75,S,2,3010.0,1564,734215.796643926,367107.898321963,104.9893,1988,X,5.34,,-95.704903781782,29.767469326615
123360650,RES1-2SNB,RES,0.75,S,2,3522.0,2775,820649.060198139,410324.5300990695,105.38255,1988,X,5.51,,-95.704521960178,29.767130120167
123360707,RES1-1SNB,RES,0.75,S,1,3066.0,2869,742761.9395790182,371380.9697895091,106.4322,1988,X,4.62,,-95.704326283753,29.767738323701
123362025,RES1-2SWB,RES,2.0,B,2,4471.0,3813,803647.1118323691,401823.55591618456,103.10463,2000,X,5.24,,-95.702402448221,29.765642040481
123361990,RES1-2SNB,RES,0.75,S,2,5953.0,4848,888141.7110809704,444070.8555404852,103.13599,2000,X,5.63,,-95.702593695555,29.765939268794
123361994,RES1-1SNB,RES,0.75,S,1,6375.0,729,932325.1848105824,466162.5924052912,103.14158,2000,X,4.97,,-95.70332115960301,29.765261406438
123362000,RES1-2SNB,RES,0.75,S,2,4347.0,3214,661839.3100115301,330919.65500576503,103.23181,2000,X,5.97,,-95.703098351207,29.765948537756
123361960,RES1-2SNB,RES,0.75,S,2,4096.0,3418,625714.9072233388,312857.4536116694,103.21519,2000,X,5.29,,-95.703829793921,29.76594924304
123361964,RES1-2SNB,RES,0.75,S,2,6207.0,4860,902704.8392560388,451352.4196280194,103.49539,2000,X,5.36,,-95.704951632957,29.765955814222
123361967,RES1-1SNB,RES,0.75,S,1,5325.0,3893,790738.677325433,395369.3386627165,103.430954,2000,X,4.73,,-95.703448713149,29.765950885641
123362002,RES1-1SNB,RES,0.75,S,1,5636.0,4299,830835.3429851754,415417.6714925877,103.378815,2000,X,4.21,,-95.704195190018,29.765963474464
123362008,RES1-2SNB,RES,0.75,S,2,4561.0,3612,689386.1142800027,344693.0571400013,103.329025,2000,X,5.07,,-95.704611183084,29.765951265754
123363225,RES1-2SNB,RES,0.75,S,2,1250.0,1769,216259.91162626725,108129.95581313362,126.86886,2003,X,5.22,,-95.706727643945,29.839835663533
123363279,RES1-2SNB,RES,0.75,S,2,2030.0,1390,298746.0114053667,149373.00570268335,126.67941,2003,X,5.38,,-95.707178863228,29.839709459386
123363240,RES1-2SNB,RES,0.75,S,2,1170.0,1614,204074.87437635235,102037.43718817618,126.95932,2003,X,5.28,,-95.706880348923,29.839807230753
123363257,RES1-2SNB,RES,0.75,S,2,1703.0,1352,269481.7560512679,134740.87802563395,126.71587,2003,X,5.06,,-95.707027826826,29.839757954456
123372071,RES1-1SNB,RES,0.75,S,1,1635.0,1944,238197.5916210922,119098.7958105461,114.39138,1985,AE,4.93,,-95.717480537956,29.804326902663
123372073,RES1-1SNB,RES,0.75,S,1,1670.0,2198,241411.00154171843,120705.50077085922,114.1104,1985,AE,4.86,,-95.717290316626,29.804375445371
123372074,RES1-1SNB,RES,0.75,S,1,2168.0,2305,282064.61725923733,141032.30862961867,114.08777,1985,AE,3.87,,-95.716200669373,29.804775614905
123372086,RES1-1SNB,RES,0.75,S,1,2228.0,2457,286840.78082564054,143420.39041282027,113.7786,1985,AE,4.31,,-95.716589993196,29.804663410916
123372087,RES1-1SNB,RES,0.75,S,1,1695.0,2115,243109.76588578545,121554.88294289273,113.82718,1985,AE,4.04,,-95.716389328885,29.804703743472
123372088,RES1-1SNB,RES,0.75,S,1,2012.0,2513,268882.8287563348,134441.4143781674,113.91293,1985,AE,4.07,,-95.715194250249,29.804843025145
123372097,RES1-1SNB,RES,0.75,S,1,1904.0,2394,260277.4561069856,130138.7280534928,113.62597,1985,AE,4.38,,-95.714999550439,29.80482832398
123372079,RES1-1SNB,RES,0.75,S,1,1695.0,2496,243109.76588578545,121554.88294289273,113.89762,1985,AE,3.85,,-95.715401088618,29.804837015587
123372081,RES1-1SNB,RES,0.75,S,1,2132.0,2338,279120.58382349357,139560.29191174678,114.024,1985,AE,4.05,,-95.71712698296,29.804476785746
123372062,RES1-1SNB,RES,0.75,S,1,1548.0,2187,229867.54798679572,114933.77399339786,113.64257,1985,AE,4.75,,-95.716761481,29.804587630348
123372105,RES1-1SNB,RES,0.75,S,1,1720.0,2285,245864.4880590815,122932.24402954074,113.65775,1985,AE,4.91,,-95.716010843322,29.804793448232
123372115,RES1-1SNB,RES,0.75,S,1,2132.0,2335,279120.58382349357,139560.29191174678,113.956474,1985,AE,4.23,,-95.716953153408,29.804536477405
123372784,RES1-1SNB,RES,0.75,S,1,1545.0,2102,230193.0116954769,115096.50584773844,114.630806,1985,AE,3.0,,-95.718502641357,29.805269282406
123372787,RES1-1SNB,RES,0.75,S,1,1832.0,2383,255945.90204773095,127972.95102386548,114.70062,1985,AE,4.77,,-95.718007180518,29.805607981361
123372789,RES1-1SNB,RES,0.75,S,1,1844.0,2581,256906.61452200296,128453.30726100148,114.53759,1985,AE,3.86,,-95.718692188099,29.805251643629
123372844,RES1-1SNB,RES,0.75,S,1,1636.0,2153,238935.51415782465,119467.75707891233,114.758446,1985,AE,3.79,,-95.718032734406,29.805948948039
123372847,RES1-1SWB,RES,2.0,B,1,1636.0,1944,325953.82915879996,162976.91457939998,113.63654,1985,AE,4.79,,-95.715400920202,29.806027201219
123372849,RES1-1SNB,RES,0.75,S,1,1350.0,1375,209419.6017133393,104709.80085666965,114.37547,1985,AE,5.14,,-95.718282948589,29.805291306538
123372851,RES1-1SNB,RES,0.75,S,1,1545.0,2111,229571.59207730522,114785.79603865261,113.381226,1985,AE,3.13,,-95.71660271484,29.806369851246
123372853,RES1-1SNB,RES,0.75,S,1,1640.0,2595,238661.48760946697,119330.74380473349,113.485,1985,AE,4.46,,-95.7155877154,29.806028668833
